source_dataset,source_vintage,source_file,country_id,country,indicator_id,indicator,scale,unit,year,rank,gdp_ppp_billions_intl_dollars
HOWMUCH_IMF_DERIVED,2021-update,data/input/Largest Economies in The World Over the Last 40 Years.xlsx,USA,United States,PPPGDP,"Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar",Billions,,1980,1,2860.0
HOWMUCH_IMF_DERIVED,2021-update,data/input/Largest Economies in The World Over the Last 40 Years.xlsx,JPN,Japan,PPPGDP,"Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar",Billions,,1980,2,1040.0
HOWMUCH_IMF_DERIVED,2021-update,data/input/Largest Economies in The World Over the Last 40 Years.xlsx,DEU,Germany,PPPGDP,"Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar",Billions,,1980,3,586.0
HOWMUCH_IMF_DERIVED,2021-update,data/input/Largest Economies in The World Over the Last 40 Years.xlsx,ITA,Italy,PPPGDP,"Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar",Billions,,1980,4,615.0
HOWMUCH_IMF_DERIVED,2021-update,data/input/Largest Economies in The World Over the Last 40 Years.xlsx,FRA,France,PPPGDP,"Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar",Billions,,1980,5,579.0
HOWMUCH_IMF_DERIVED,2021-update,data/input/Largest Economies in The World Over the Last 40 Years.xlsx,BRA,Brazil,PPPGDP,"Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar",Billions,,1980,6,571.0
HOWMUCH_IMF_DERIVED,2021-update,data/input/Largest Economies in The World Over the Last 40 Years.xlsx,GBR,United Kingdom,PPPGDP,"Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar",Billions,,1980,7,496.0
HOWMUCH_IMF_DERIVED,2021-update,data/input/Largest Economies in The World Over the Last 40 Years.xlsx,SAU,Saudi Arabia,PPPGDP,"Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar",Billions,,1980,8,419.0
HOWMUCH_IMF_DERIVED,2021-update,data/input/Largest Economies in The World Over the Last 40 Years.xlsx,MEX,Mexico,PPPGDP,"Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar",Billions,,1980,9,405.0
HOWMUCH_IMF_DERIVED,2021-update,data/input/Largest Economies in The World Over the Last 40 Years.xlsx,IND,India,PPPGDP,"Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar",Billions,,1980,10,372.0
HOWMUCH_IMF_DERIVED,2021-update,data/input/Largest Economies in The World Over the Last 40 Years.xlsx,USA,United States,PPPGDP,"Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar",Billions,,1990,1,5960.0
HOWMUCH_IMF_DERIVED,2021-update,data/input/Largest Economies in The World Over the Last 40 Years.xlsx,JPN,Japan,PPPGDP,"Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar",Billions,,1990,2,2450.0
HOWMUCH_IMF_DERIVED,2021-update,data/input/Largest Economies in The World Over the Last 40 Years.xlsx,DEU,Germany,PPPGDP,"Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar",Billions,,1990,3,1620.0
HOWMUCH_IMF_DERIVED,2021-update,data/input/Largest Economies in The World Over the Last 40 Years.xlsx,ITA,Italy,PPPGDP,"Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar",Billions,,1990,4,1150.0
HOWMUCH_IMF_DERIVED,2021-update,data/input/Largest Economies in The World Over the Last 40 Years.xlsx,FRA,France,PPPGDP,"Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar",Billions,,1990,5,1110.0
HOWMUCH_IMF_DERIVED,2021-update,data/input/Largest Economies in The World Over the Last 40 Years.xlsx,CHN,"China, People's Republic of",PPPGDP,"Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar",Billions,,1990,6,1110.0
HOWMUCH_IMF_DERIVED,2021-update,data/input/Largest Economies in The World Over the Last 40 Years.xlsx,BRA,Brazil,PPPGDP,"Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar",Billions,,1990,7,1000.0
HOWMUCH_IMF_DERIVED,2021-update,data/input/Largest Economies in The World Over the Last 40 Years.xlsx,GBR,United Kingdom,PPPGDP,"Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar",Billions,,1990,8,997.0
HOWMUCH_IMF_DERIVED,2021-update,data/input/Largest Economies in The World Over the Last 40 Years.xlsx,IND,India,PPPGDP,"Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar",Billions,,1990,9,963.0
HOWMUCH_IMF_DERIVED,2021-update,data/input/Largest Economies in The World Over the Last 40 Years.xlsx,MEX,Mexico,PPPGDP,"Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar",Billions,,1990,10,734.0
HOWMUCH_IMF_DERIVED,2021-update,data/input/Largest Economies in The World Over the Last 40 Years.xlsx,USA,United States,PPPGDP,"Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar",Billions,,2000,1,10250.0
HOWMUCH_IMF_DERIVED,2021-update,data/input/Largest Economies in The World Over the Last 40 Years.xlsx,CHN,"China, People's Republic of",PPPGDP,"Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar",Billions,,2000,2,3660.0
HOWMUCH_IMF_DERIVED,2021-update,data/input/Largest Economies in The World Over the Last 40 Years.xlsx,JPN,Japan,PPPGDP,"Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar",Billions,,2000,3,3420.0
HOWMUCH_IMF_DERIVED,2021-update,data/input/Largest Economies in The World Over the Last 40 Years.xlsx,DEU,Germany,PPPGDP,"Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar",Billions,,2000,4,2400.0
HOWMUCH_IMF_DERIVED,2021-update,data/input/Largest Economies in The World Over the Last 40 Years.xlsx,IND,India,PPPGDP,"Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar",Billions,,2000,5,2029.9999999999998
HOWMUCH_IMF_DERIVED,2021-update,data/input/Largest Economies in The World Over the Last 40 Years.xlsx,FRA,France,PPPGDP,"Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar",Billions,,2000,6,1680.0
HOWMUCH_IMF_DERIVED,2021-update,data/input/Largest Economies in The World Over the Last 40 Years.xlsx,ITA,Italy,PPPGDP,"Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar",Billions,,2000,7,1660.0
HOWMUCH_IMF_DERIVED,2021-update,data/input/Largest Economies in The World Over the Last 40 Years.xlsx,BRA,Brazil,PPPGDP,"Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar",Billions,,2000,8,1580.0
HOWMUCH_IMF_DERIVED,2021-update,data/input/Largest Economies in The World Over the Last 40 Years.xlsx,GBR,United Kingdom,PPPGDP,"Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar",Billions,,2000,9,1560.0
HOWMUCH_IMF_DERIVED,2021-update,data/input/Largest Economies in The World Over the Last 40 Years.xlsx,RUS,Russian Federation,PPPGDP,"Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar",Billions,,2000,10,1540.0
HOWMUCH_IMF_DERIVED,2021-update,data/input/Largest Economies in The World Over the Last 40 Years.xlsx,USA,United States,PPPGDP,"Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar",Billions,,2010,1,14990.0
HOWMUCH_IMF_DERIVED,2021-update,data/input/Largest Economies in The World Over the Last 40 Years.xlsx,CHN,"China, People's Republic of",PPPGDP,"Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar",Billions,,2010,2,12290.0
HOWMUCH_IMF_DERIVED,2021-update,data/input/Largest Economies in The World Over the Last 40 Years.xlsx,IND,India,PPPGDP,"Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar",Billions,,2010,3,5160.0
HOWMUCH_IMF_DERIVED,2021-update,data/input/Largest Economies in The World Over the Last 40 Years.xlsx,JPN,Japan,PPPGDP,"Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar",Billions,,2010,4,4480.0
HOWMUCH_IMF_DERIVED,2021-update,data/input/Largest Economies in The World Over the Last 40 Years.xlsx,DEU,Germany,PPPGDP,"Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar",Billions,,2010,5,3220.0
HOWMUCH_IMF_DERIVED,2021-update,data/input/Largest Economies in The World Over the Last 40 Years.xlsx,RUS,Russian Federation,PPPGDP,"Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar",Billions,,2010,6,3040.0
HOWMUCH_IMF_DERIVED,2021-update,data/input/Largest Economies in The World Over the Last 40 Years.xlsx,BRA,Brazil,PPPGDP,"Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar",Billions,,2010,7,2800.0
HOWMUCH_IMF_DERIVED,2021-update,data/input/Largest Economies in The World Over the Last 40 Years.xlsx,FRA,France,PPPGDP,"Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar",Billions,,2010,8,2350.0
